id,name,neighborhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,amenities,availability_365,month
1012,Listing 1012,Chelsea,40.673036,-73.940091,Entire home/apt,2,1,1,3,55,5,56,,"Pet friendly,Beach access,Wifi",167,October
1013,Listing 1013,Midtown,40.714017,-73.814447,Entire home/apt,3,1,3,2,144,5,33,92.0,"Air Conditioning,Pool,Washer,Pet friendly,Gym,Beach access,Wifi",99,November
1014,Listing 1014,SoHo,40.649918,-73.89573,Private room,4,2,2,1,287,1,15,81.0,"Breakfast,Kitchen,Washer,Beach access,Air Conditioning",324,November
1015,Listing 1015,Chelsea,40.748104,-74.036065,Entire home/apt,4,1,2,4,111,5,25,70.0,"Wifi,Kitchen,Washer,Heating,Gym,Pool,Beach access",159,February
1016,Listing 1016,SoHo,40.751886,-73.998843,Entire home/apt,2,2,1,4,150,5,124,73.0,"Dryer,Washer,Wifi,Air Conditioning",327,August
1017,Listing 1017,Downtown,40.616263,-73.765334,Shared room,3,1,1,4,165,5,20,96.0,"Kitchen,Air Conditioning,Breakfast,Washer",256,September
1018,Listing 1018,Midtown,40.841408,-73.807481,Shared room,2,3,3,1,204,5,144,85.0,"Dryer,Washer,Beach access,Elevator,Pet friendly",185,February
1019,Listing 1019,SoHo,40.676153,-74.020698,Entire home/apt,6,3,2,4,117,5,144,72.0,"Free parking,Washer,Breakfast",185,February
1020,Listing 1020,Queens,40.771058,-73.917954,Private room,1,1,2,3,130,3,135,,"Dryer,Beach access,Kitchen,Heating,Breakfast,Pet friendly,Wifi",333,August
1021,Listing 1021,Queens,40.63051,-73.901447,Private room,3,3,1,3,125,3,129,84.0,"Wifi,Kitchen,Beach access,Gym,Dryer",72,November
1022,Listing 1022,Downtown,40.608597,-73.777204,Private room,2,3,2,2,326,4,143,,"Kitchen,Pet friendly,Heating",329,August
1023,Listing 1023,Downtown,40.664695,-73.851243,Private room,5,3,1,4,78,1,91,75.0,"Beach access,Kitchen,Elevator,Free parking",258,January
1024,Listing 1024,Williamsburg,40.677928,-73.89398,Shared room,2,1,1,2,332,3,105,94.0,"Dryer,Heating,Kitchen,Gym",69,July
1025,Listing 1025,Chelsea,40.736678,-73.994544,Entire home/apt,2,2,2,3,245,2,102,79.0,"Kitchen,Dryer,Elevator,Free parking,Gym",324,April
1026,Listing 1026,Harlem,40.842396,-73.81746,Entire home/apt,1,2,1,3,60,3,80,82.0,"Free parking,Kitchen,Gym,Air Conditioning,Washer,Dryer,Wifi",273,February
1027,Listing 1027,Downtown,40.834875,-73.781552,Shared room,5,3,3,2,174,3,80,90.0,"Pet friendly,Dryer,Free parking",208,July
1028,Listing 1028,SoHo,40.749475,-73.773438,Private room,4,3,2,2,138,4,44,88.0,"Dryer,Gym,Free parking,Wifi,Breakfast,Beach access,Kitchen",270,July
1029,Listing 1029,Williamsburg,40.622123,-73.991205,Shared room,6,2,2,4,186,4,43,90.0,"Dryer,Free parking,Beach access",221,November
1030,Listing 1030,Midtown,40.611307,-73.952401,Entire home/apt,6,2,1,2,79,4,18,83.0,"Beach access,Air Conditioning,Washer,Gym,Pool,Pet friendly",174,January
1031,Listing 1031,Queens,40.697169,-73.968595,Shared room,6,1,1,4,112,5,118,70.0,"Washer,Kitchen,Pool,Heating,Beach access,Elevator,Gym",276,March
1032,Listing 1032,Williamsburg,40.807184,-73.942974,Shared room,5,2,3,4,292,4,115,77.0,"Beach access,Dryer,Free parking,Pool",172,March
1033,Listing 1033,Upper East Side,40.670234,-73.887191,Private room,1,3,2,2,154,5,20,73.0,"Washer,Gym,Heating,Breakfast",82,June
1034,Listing 1034,SoHo,40.635231,-73.809341,Private room,3,3,2,4,69,4,149,99.0,"Breakfast,Air Conditioning,Gym",294,April
1035,Listing 1035,Downtown,40.618638,-73.753934,Private room,3,2,2,2,166,4,7,81.0,"Beach access,Breakfast,Gym,Heating,Pool",115,April
1036,Listing 1036,Williamsburg,40.793061,-73.990385,Shared room,1,2,3,1,84,4,46,70.0,"Gym,Elevator,Washer,Pool,Pet friendly",222,November
1037,Listing 1037,SoHo,40.601381,-73.805362,Private room,4,2,1,4,65,3,57,89.0,"Breakfast,Beach access,Wifi",65,December
1038,Listing 1038,Brooklyn,40.776714,-73.831298,Entire home/apt,1,3,1,2,114,5,55,83.0,"Breakfast,Elevator,Heating,Air Conditioning,Kitchen",133,August
1039,Listing 1039,Upper East Side,40.792818,-74.027787,Entire home/apt,5,1,2,4,172,5,62,72.0,"Beach access,Air Conditioning,Kitchen,Pet friendly,Wifi",227,December
1040,Listing 1040,Financial District,40.689616,-74.015239,Private room,6,2,1,3,76,1,110,99.0,"Beach access,Pool,Heating,Gym,Breakfast",317,July
1041,Listing 1041,Upper East Side,40.815776,-73.863011,Shared room,5,2,2,4,318,3,62,95.0,"Dryer,Pool,Washer",287,December
1042,Listing 1042,Williamsburg,40.682725,-74.030932,Shared room,6,2,2,1,220,2,90,94.0,"Elevator,Dryer,Air Conditioning,Pet friendly,Free parking",55,June
1043,Listing 1043,Financial District,40.677746,-73.952445,Entire home/apt,1,1,3,4,184,4,125,83.0,"Kitchen,Dryer,Washer",257,September
1044,Listing 1044,Brooklyn,40.782402,-73.858733,Private room,6,3,2,4,185,5,84,80.0,"Dryer,Breakfast,Pet friendly,Washer,Kitchen,Air Conditioning",211,September
1045,Listing 1045,Midtown,40.821803,-73.908336,Shared room,5,3,1,2,125,5,134,88.0,"Kitchen,Washer,Dryer,Pet friendly,Elevator",141,December
1046,Listing 1046,Upper East Side,40.629899,-73.836027,Entire home/apt,6,3,1,3,61,2,125,72.0,"Air Conditioning,Dryer,Pool",295,January
1047,Listing 1047,Chelsea,40.790196,-73.881617,Private room,2,1,2,4,77,1,147,89.0,"Heating,Breakfast,Air Conditioning",205,February
1048,Listing 1048,Midtown,40.792742,-73.901861,Entire home/apt,1,3,2,2,242,4,76,96.0,"Gym,Dryer,Air Conditioning,Beach access,Wifi,Kitchen,Breakfast",156,September
1049,Listing 1049,Brooklyn,40.730683,-73.921738,Private room,6,1,1,2,86,1,104,83.0,"Pool,Dryer,Wifi,Washer,Pet friendly,Free parking,Elevator",282,September
1050,Listing 1050,Midtown,40.606355,-74.017633,Shared room,2,2,3,2,159,2,68,95.0,"Kitchen,Wifi,Heating,Dryer",354,February
1051,Listing 1051,Williamsburg,40.607857,-73.859077,Private room,4,1,2,3,339,5,138,84.0,"Kitchen,Air Conditioning,Wifi,Gym,Elevator,Dryer",63,July
1052,Listing 1052,Midtown,40.678589,-73.897429,Entire home/apt,6,3,3,1,309,5,10,93.0,"Pool,Free parking,Beach access,Breakfast",192,November
1053,Listing 1053,Queens,40.826892,-73.975212,Shared room,4,3,2,1,224,3,26,96.0,"Elevator,Gym,Pool,Dryer",255,June
1054,Listing 1054,Financial District,40.702596,-73.823335,Entire home/apt,4,1,2,3,144,4,131,95.0,"Beach access,Free parking,Pool",261,February
1055,Listing 1055,Downtown,40.6572,-74.026906,Entire home/apt,5,2,3,4,299,2,68,86.0,"Dryer,Pool,Pet friendly,Kitchen",64,August
1056,Listing 1056,Williamsburg,40.672438,-74.001634,Entire home/apt,6,1,2,1,234,1,118,99.0,"Beach access,Heating,Pool",199,July
1057,Listing 1057,Financial District,40.832424,-73.807564,Shared room,3,2,2,4,152,4,48,98.0,"Free parking,Pet friendly,Heating,Kitchen,Dryer,Gym,Beach access",309,August
1058,Listing 1058,Upper East Side,40.758351,-73.788562,Entire home/apt,3,3,2,4,268,4,88,79.0,"Breakfast,Free parking,Gym,Pool,Elevator,Washer,Pet friendly",172,March
1059,Listing 1059,Williamsburg,40.800918,-73.994029,Private room,2,2,1,3,338,4,98,90.0,"Pool,Wifi,Heating,Free parking",352,August
1060,Listing 1060,Harlem,40.82314,-73.888197,Entire home/apt,4,1,3,4,59,2,19,84.0,"Elevator,Air Conditioning,Gym,Kitchen,Breakfast",323,December
1061,Listing 1061,SoHo,40.80186,-73.781173,Private room,6,3,2,1,196,3,58,92.0,"Gym,Kitchen,Beach access",101,February
1062,Listing 1062,Chelsea,40.679501,-74.016984,Entire home/apt,6,2,1,1,127,3,110,73.0,"Free parking,Gym,Air Conditioning,Heating",137,January
1063,Listing 1063,Queens,40.656984,-73.921868,Entire home/apt,5,2,3,2,164,4,65,83.0,"Beach access,Wifi,Pool,Dryer,Free parking",130,October
1064,Listing 1064,Midtown,40.804504,-73.791781,Private room,3,3,2,4,224,3,50,81.0,"Kitchen,Washer,Gym,Air Conditioning,Elevator,Dryer",201,May
1065,Listing 1065,Downtown,40.601738,-73.896776,Shared room,4,2,1,1,296,3,58,88.0,"Washer,Beach access,Breakfast,Air Conditioning,Dryer",120,October
1066,Listing 1066,Midtown,40.704353,-73.983368,Shared room,6,1,2,4,56,2,23,98.0,"Elevator,Pet friendly,Gym,Heating,Washer",117,October
1067,Listing 1067,Financial District,40.629966,-73.948715,Private room,5,3,2,2,171,3,86,94.0,"Pool,Kitchen,Heating",165,August
1068,Listing 1068,SoHo,40.835727,-73.953039,Shared room,3,1,2,1,108,3,67,87.0,"Beach access,Elevator,Kitchen,Washer,Pool,Wifi",337,September
1069,Listing 1069,Harlem,40.729698,-73.839094,Shared room,2,3,1,4,327,4,29,73.0,"Wifi,Dryer,Pool",109,December
1070,Listing 1070,Midtown,40.690907,-73.758465,Entire home/apt,5,1,2,4,185,5,107,87.0,"Gym,Beach access,Kitchen,Pool",365,November
1071,Listing 1071,SoHo,40.840612,-73.974465,Private room,1,3,2,2,242,3,25,90.0,"Free parking,Beach access,Elevator,Wifi,Gym",191,August
1072,Listing 1072,Brooklyn,40.724312,-73.959737,Entire home/apt,4,1,3,2,260,1,12,94.0,"Washer,Heating,Air Conditioning,Breakfast,Kitchen",333,November
1073,Listing 1073,Brooklyn,40.67121,-74.038934,Shared room,2,1,2,2,226,2,33,86.0,"Breakfast,Heating,Kitchen,Wifi,Pet friendly",57,October
1074,Listing 1074,Harlem,40.752391,-73.899196,Entire home/apt,5,2,1,2,108,4,134,72.0,"Pool,Breakfast,Elevator",312,January
1075,Listing 1075,Williamsburg,40.61287,-73.966406,Entire home/apt,4,3,1,1,284,4,7,70.0,"Gym,Breakfast,Beach access,Kitchen,Pool,Free parking",87,November
1076,Listing 1076,Midtown,40.827066,-73.978131,Private room,5,1,1,2,123,5,83,81.0,"Free parking,Dryer,Pool,Breakfast,Gym,Kitchen,Air Conditioning",108,October
1077,Listing 1077,Financial District,40.636224,-73.903164,Shared room,2,2,2,2,224,4,106,92.0,"Elevator,Gym,Breakfast",180,June
1078,Listing 1078,Harlem,40.846413,-73.977383,Entire home/apt,6,2,1,1,240,1,95,94.0,"Free parking,Wifi,Air Conditioning,Breakfast",337,February
1079,Listing 1079,Harlem,40.768034,-73.821514,Shared room,1,2,2,4,301,3,79,80.0,"Air Conditioning,Free parking,Washer",129,December
1080,Listing 1080,Chelsea,40.659409,-73.831535,Entire home/apt,1,2,3,3,80,4,143,93.0,"Air Conditioning,Beach access,Pet friendly,Free parking,Wifi,Dryer,Breakfast",142,May
1081,Listing 1081,Upper East Side,40.691946,-73.860308,Shared room,3,2,2,1,97,4,17,73.0,"Kitchen,Pet friendly,Free parking",160,March
1082,Listing 1082,SoHo,40.758382,-73.889268,Private room,4,2,1,3,150,5,21,97.0,"Heating,Breakfast,Air Conditioning",75,December
1083,Listing 1083,Midtown,40.622572,-73.799409,Private room,4,3,2,4,271,2,131,72.0,"Gym,Kitchen,Dryer,Air Conditioning,Pool",319,August
1084,Listing 1084,Upper East Side,40.680195,-73.994044,Entire home/apt,2,2,3,1,48,2,35,93.0,"Dryer,Elevator,Kitchen,Wifi,Pool",270,April
1085,Listing 1085,Queens,40.610194,-73.872732,Entire home/apt,4,3,3,2,189,3,18,81.0,"Gym,Wifi,Pool",89,September
1086,Listing 1086,Harlem,40.769391,-74.045024,Shared room,4,3,2,4,121,3,43,94.0,"Pool,Pet friendly,Elevator,Kitchen,Gym,Air Conditioning,Breakfast",273,February
1087,Listing 1087,Williamsburg,40.728023,-73.982051,Private room,5,1,2,3,303,2,19,85.0,"Free parking,Breakfast,Washer",228,June
1088,Listing 1088,Harlem,40.761293,-73.99769,Shared room,6,1,1,1,81,5,39,93.0,"Heating,Beach access,Pool",287,May
1089,Listing 1089,Williamsburg,40.772734,-73.933979,Shared room,4,3,3,3,315,4,17,84.0,"Beach access,Dryer,Pet friendly,Air Conditioning,Wifi,Elevator",309,November
1090,Listing 1090,Midtown,40.834182,-74.008744,Private room,4,2,1,1,131,1,129,81.0,"Air Conditioning,Free parking,Wifi,Pool,Washer,Elevator",359,May
1091,Listing 1091,Chelsea,40.685267,-74.015958,Shared room,2,1,2,1,384,1,129,89.0,"Wifi,Washer,Pool,Beach access",318,June
1092,Listing 1092,Financial District,40.831173,-73.786798,Shared room,2,2,2,3,213,5,13,94.0,"Kitchen,Elevator,Breakfast,Free parking,Gym",195,July
1093,Listing 1093,Upper East Side,40.664485,-73.852005,Shared room,6,3,1,3,72,3,79,99.0,"Heating,Air Conditioning,Kitchen,Dryer,Free parking,Gym",218,October
1094,Listing 1094,Queens,40.804306,-73.88344,Shared room,6,3,3,1,254,3,4,80.0,"Heating,Washer,Elevator,Pool,Pet friendly",165,November
1095,Listing 1095,Queens,40.732413,-73.977444,Entire home/apt,1,2,1,1,320,5,33,88.0,"Heating,Breakfast,Pet friendly,Air Conditioning,Beach access,Pool",72,June
1096,Listing 1096,SoHo,40.623276,-73.780835,Private room,6,3,1,4,216,4,59,86.0,"Dryer,Pool,Washer,Elevator",342,May
1097,Listing 1097,Chelsea,40.825105,-73.86007,Private room,3,2,3,4,315,5,35,96.0,"Wifi,Beach access,Pool,Elevator,Free parking",102,March
1098,Listing 1098,Financial District,40.684757,-73.945237,Entire home/apt,3,1,1,3,153,4,23,99.0,"Pool,Elevator,Wifi,Gym",77,September
1099,Listing 1099,SoHo,40.781489,-73.780867,Shared room,3,1,2,1,131,1,85,94.0,"Heating,Wifi,Dryer,Pool",121,April
1100,Listing 1100,Chelsea,40.821772,-73.816037,Private room,5,1,1,1,122,5,135,82.0,"Breakfast,Dryer,Washer",204,April
1101,Listing 1101,Midtown,40.760508,-74.024758,Entire home/apt,2,2,3,4,70,4,137,,"Air Conditioning,Washer,Heating,Dryer,Gym,Wifi,Breakfast",230,February
1102,Listing 1102,Brooklyn,40.640407,-73.780434,Shared room,4,1,3,1,224,5,139,85.0,"Free parking,Wifi,Gym,Pool,Pet friendly,Beach access,Heating",179,June
1103,Listing 1103,Downtown,40.751607,-74.047241,Private room,1,2,1,1,258,3,34,70.0,"Free parking,Elevator,Beach access,Heating,Pool",295,October
1104,Listing 1104,Queens,40.625368,-73.850949,Entire home/apt,1,3,2,1,113,2,10,79.0,"Free parking,Gym,Breakfast,Pool,Dryer",68,April
1105,Listing 1105,Brooklyn,40.601265,-74.001758,Private room,3,1,3,3,126,4,102,92.0,"Gym,Elevator,Heating,Pool,Air Conditioning,Pet friendly",315,February
1106,Listing 1106,Upper East Side,40.737183,-73.842431,Entire home/apt,6,2,1,4,205,3,26,71.0,"Beach access,Dryer,Pet friendly,Pool,Gym",135,March
1107,Listing 1107,Chelsea,40.76299,-73.982719,Private room,4,1,3,3,265,1,19,90.0,"Elevator,Free parking,Beach access,Heating,Wifi,Air Conditioning",361,July
1108,Listing 1108,Chelsea,40.778045,-73.978825,Entire home/apt,2,1,1,3,210,1,39,90.0,"Elevator,Breakfast,Pool,Kitchen,Heating,Pet friendly",253,July
1109,Listing 1109,Harlem,40.68135,-73.826053,Shared room,3,1,1,1,237,4,143,72.0,"Breakfast,Dryer,Pool,Washer,Pet friendly",301,March
1110,Listing 1110,Brooklyn,40.762408,-73.795233,Entire home/apt,2,1,2,2,332,1,81,90.0,"Pet friendly,Kitchen,Free parking,Beach access,Dryer",203,December
1111,Listing 1111,Queens,40.764403,-73.879507,Shared room,6,3,3,2,342,1,51,94.0,"Washer,Pool,Wifi,Elevator",333,June
1112,Listing 1112,Williamsburg,40.623419,-73.939685,Private room,4,3,1,1,64,4,134,82.0,"Air Conditioning,Kitchen,Heating,Elevator,Pet friendly,Pool",288,May
1113,Listing 1113,Financial District,40.666301,-73.976803,Private room,2,3,3,2,242,1,31,85.0,"Dryer,Heating,Pet friendly,Elevator",165,March
1114,Listing 1114,Harlem,40.843253,-73.932071,Shared room,3,1,2,2,202,3,136,71.0,"Beach access,Heating,Air Conditioning,Breakfast,Pet friendly,Free parking,Elevator",359,September
1115,Listing 1115,Harlem,40.823012,-73.860658,Shared room,1,1,1,1,366,3,53,93.0,"Gym,Air Conditioning,Beach access,Wifi,Pool,Dryer,Elevator",204,November
1116,Listing 1116,Chelsea,40.798703,-73.899209,Entire home/apt,6,2,2,4,75,4,106,84.0,"Washer,Elevator,Air Conditioning,Heating,Pet friendly,Free parking",226,December
1117,Listing 1117,SoHo,40.744226,-73.902245,Entire home/apt,3,3,3,1,130,3,115,76.0,"Kitchen,Wifi,Dryer,Gym",365,April
1118,Listing 1118,SoHo,40.648811,-73.833264,Entire home/apt,2,2,3,3,97,5,119,84.0,"Pool,Wifi,Kitchen,Gym,Free parking",284,March
1119,Listing 1119,Brooklyn,40.670193,-74.042705,Entire home/apt,5,2,1,1,168,4,73,86.0,"Kitchen,Gym,Heating",185,August
1120,Listing 1120,Harlem,40.761368,-73.996867,Private room,3,1,2,1,183,5,73,71.0,"Free parking,Pool,Breakfast,Dryer,Kitchen,Heating",99,September
1121,Listing 1121,SoHo,40.835115,-73.763821,Private room,3,3,2,2,100,5,10,70.0,"Heating,Pet friendly,Elevator",292,October
1122,Listing 1122,Financial District,40.828716,-73.938952,Private room,2,3,3,2,128,4,76,87.0,"Free parking,Breakfast,Pet friendly,Pool,Dryer",293,October
1123,Listing 1123,Downtown,40.603864,-73.771504,Private room,3,3,1,4,210,1,121,77.0,"Air Conditioning,Washer,Wifi,Breakfast,Pool,Heating,Dryer",244,May
1124,Listing 1124,Queens,40.707046,-73.760004,Shared room,2,1,3,1,96,4,38,82.0,"Gym,Free parking,Air Conditioning,Pool",81,January
1125,Listing 1125,Queens,40.840905,-73.794097,Shared room,2,3,2,4,238,2,117,98.0,"Elevator,Free parking,Breakfast,Dryer,Pool,Washer,Kitchen",192,July
1126,Listing 1126,Financial District,40.673612,-73.934471,Private room,2,2,2,2,270,4,89,86.0,"Dryer,Kitchen,Air Conditioning,Free parking,Gym",252,December
1127,Listing 1127,Harlem,40.812784,-73.954923,Entire home/apt,3,1,2,1,192,4,54,75.0,"Dryer,Free parking,Breakfast,Heating,Kitchen,Washer,Pet friendly",75,August
1128,Listing 1128,Financial District,40.642373,-73.88296,Entire home/apt,6,1,1,1,219,1,35,,"Heating,Gym,Beach access,Pool,Air Conditioning,Washer,Pet friendly",197,June
1129,Listing 1129,Harlem,40.834039,-73.841191,Private room,6,1,1,2,231,1,44,82.0,"Wifi,Gym,Pool,Heating",198,December
1130,Listing 1130,Downtown,40.742515,-74.020847,Entire home/apt,3,3,3,1,368,5,134,84.0,"Free parking,Pool,Dryer,Washer",107,June
1131,Listing 1131,Harlem,40.753752,-73.752984,Entire home/apt,6,2,3,3,210,3,75,87.0,"Heating,Air Conditioning,Beach access,Gym",268,March
1132,Listing 1132,Financial District,40.635021,-73.894501,Private room,1,2,3,1,96,2,1,77.0,"Washer,Pool,Dryer,Elevator,Beach access,Wifi",183,March
1133,Listing 1133,Harlem,40.819343,-73.827769,Shared room,2,1,3,1,157,5,79,91.0,"Beach access,Dryer,Elevator",364,May
1134,Listing 1134,Brooklyn,40.774254,-73.839255,Entire home/apt,2,2,1,4,234,5,120,93.0,"Breakfast,Beach access,Washer,Pet friendly,Kitchen,Pool,Dryer",235,October
1135,Listing 1135,Midtown,40.689873,-73.961922,Shared room,1,1,3,2,182,3,133,83.0,"Beach access,Washer,Air Conditioning",300,September
1136,Listing 1136,Midtown,40.80234,-73.806966,Shared room,4,1,2,2,242,1,143,83.0,"Pet friendly,Wifi,Gym,Dryer,Breakfast",161,July
1137,Listing 1137,Williamsburg,40.816768,-73.776028,Entire home/apt,1,2,2,1,204,1,120,70.0,"Gym,Heating,Pet friendly,Breakfast,Elevator",245,January
1138,Listing 1138,Chelsea,40.727836,-73.899545,Private room,4,1,3,2,268,5,100,85.0,"Pet friendly,Washer,Wifi,Beach access",202,June
1139,Listing 1139,Chelsea,40.799574,-73.855011,Shared room,6,3,2,4,246,3,39,77.0,"Pet friendly,Kitchen,Wifi,Gym",364,April
1140,Listing 1140,Downtown,40.775492,-73.811262,Entire home/apt,2,1,1,1,169,1,62,92.0,"Gym,Pool,Washer",326,October
1141,Listing 1141,Brooklyn,40.822501,-73.948601,Entire home/apt,2,3,2,2,313,5,82,76.0,"Heating,Beach access,Free parking,Washer,Gym",203,December
1142,Listing 1142,Upper East Side,40.693896,-74.021805,Entire home/apt,5,3,3,2,248,4,12,80.0,"Breakfast,Free parking,Elevator,Gym,Air Conditioning,Heating",203,November
1143,Listing 1143,SoHo,40.74457,-74.039217,Entire home/apt,5,2,1,2,142,4,14,86.0,"Gym,Free parking,Pet friendly,Heating,Breakfast,Washer",180,December
1144,Listing 1144,Brooklyn,40.7164,-73.887207,Private room,6,1,2,3,76,2,13,77.0,"Beach access,Air Conditioning,Pet friendly,Wifi,Kitchen,Washer",350,September
1145,Listing 1145,Financial District,40.671635,-73.87275,Entire home/apt,4,1,2,3,277,2,30,92.0,"Washer,Pet friendly,Air Conditioning,Breakfast,Gym,Beach access",332,January
1146,Listing 1146,Harlem,40.607625,-74.038796,Private room,4,2,3,3,124,4,119,72.0,"Breakfast,Elevator,Washer,Pet friendly,Air Conditioning,Gym",73,May
1147,Listing 1147,Williamsburg,40.80565,-73.941943,Entire home/apt,6,1,1,3,194,4,75,73.0,"Elevator,Washer,Gym,Air Conditioning",175,October
1148,Listing 1148,Chelsea,40.631765,-73.893327,Shared room,6,3,2,3,365,4,117,74.0,"Heating,Breakfast,Free parking,Pool,Pet friendly",327,August
1149,Listing 1149,Downtown,40.792498,-73.985254,Shared room,1,1,3,1,240,2,17,91.0,"Wifi,Washer,Free parking,Pool",241,January
1150,Listing 1150,Downtown,40.755723,-74.024396,Shared room,6,3,3,4,262,5,141,82.0,"Wifi,Free parking,Dryer",324,August
1151,Listing 1151,Upper East Side,40.61292,-73.890594,Entire home/apt,5,3,3,4,235,1,134,73.0,"Washer,Air Conditioning,Free parking,Dryer",231,March
1152,Listing 1152,Upper East Side,40.735159,-73.858771,Private room,1,2,2,4,213,2,76,90.0,"Beach access,Breakfast,Wifi",97,April
1153,Listing 1153,SoHo,40.781523,-73.757244,Private room,4,3,2,1,221,1,127,96.0,"Beach access,Elevator,Air Conditioning,Kitchen,Free parking,Wifi",167,January
1154,Listing 1154,Brooklyn,40.729075,-73.953113,Shared room,5,2,2,1,296,3,139,87.0,"Heating,Elevator,Wifi",156,February
1155,Listing 1155,Williamsburg,40.798797,-73.96875,Entire home/apt,6,2,1,3,86,4,138,79.0,"Breakfast,Pet friendly,Heating,Kitchen,Free parking,Elevator",77,October
1156,Listing 1156,Midtown,40.709743,-74.026463,Private room,2,1,2,4,360,3,115,84.0,"Elevator,Free parking,Gym,Beach access",145,June
1157,Listing 1157,Williamsburg,40.606338,-73.761205,Shared room,4,1,3,3,264,1,68,73.0,"Pet friendly,Beach access,Heating,Gym,Elevator,Free parking",104,April
1158,Listing 1158,Midtown,40.808995,-73.841208,Entire home/apt,3,2,2,3,69,4,114,86.0,"Free parking,Gym,Kitchen,Wifi,Beach access,Elevator,Dryer",97,March
1159,Listing 1159,Williamsburg,40.702238,-73.998012,Shared room,3,2,1,3,222,5,62,87.0,"Heating,Beach access,Gym,Breakfast,Air Conditioning,Dryer,Free parking",187,July
1160,Listing 1160,Chelsea,40.639109,-73.974927,Entire home/apt,1,1,2,3,156,1,92,77.0,"Pet friendly,Beach access,Pool,Air Conditioning",365,May
1161,Listing 1161,Brooklyn,40.737307,-73.835621,Private room,1,1,2,1,379,5,97,94.0,"Pool,Elevator,Gym,Air Conditioning,Heating",203,July
1162,Listing 1162,Harlem,40.765049,-73.96602,Shared room,6,1,2,3,141,3,125,99.0,"Breakfast,Washer,Elevator,Gym,Dryer,Air Conditioning,Heating",108,July
1163,Listing 1163,Williamsburg,40.838716,-73.828631,Entire home/apt,5,3,1,1,349,2,112,94.0,"Pet friendly,Kitchen,Gym,Pool,Heating",205,December
1164,Listing 1164,Brooklyn,40.738589,-73.866484,Private room,6,1,3,4,307,5,122,87.0,"Free parking,Breakfast,Gym,Pet friendly,Wifi,Elevator",324,July
1165,Listing 1165,Williamsburg,40.7049,-73.975681,Shared room,1,1,1,3,112,5,102,99.0,"Breakfast,Gym,Kitchen,Wifi,Beach access",182,November
1166,Listing 1166,Brooklyn,40.688993,-73.822646,Shared room,6,3,3,2,216,5,128,73.0,"Wifi,Pool,Kitchen,Dryer,Gym",93,June
1167,Listing 1167,Midtown,40.603598,-74.015178,Shared room,2,2,2,3,166,3,121,72.0,"Pet friendly,Breakfast,Pool,Elevator,Kitchen,Dryer",72,April
1168,Listing 1168,Midtown,40.611501,-74.037781,Entire home/apt,3,3,1,2,330,2,141,74.0,"Free parking,Gym,Pool,Washer,Pet friendly",144,December
1169,Listing 1169,Queens,40.813865,-73.838903,Shared room,6,2,2,1,256,4,109,81.0,"Pet friendly,Washer,Breakfast",192,October
1170,Listing 1170,Midtown,40.718543,-74.02065,Shared room,1,3,1,3,131,3,125,85.0,"Air Conditioning,Gym,Breakfast,Pet friendly,Kitchen",228,April
1171,Listing 1171,Harlem,40.722904,-73.907958,Private room,5,1,3,3,290,2,80,72.0,"Dryer,Kitchen,Heating,Elevator",122,October
